id,address,nearbySchoolNum,houseType,soldPrice,lastSoldPrice,rentPrice,bedroom,bathroom,carspace,soldTimeYear,soldTimeMonth,lastSoldTimeYear,lastSoldTimeMonth,rentTimeYear,rentTimeMonth,landSize,buildingSize,buildYear,distanceToCBD,distanceToStation
1,"311/126 Mounts Bay Road, Perth",2,Apartment,465000,330000,,1,1,1,2012,12,2010,11,,,5547,,,1,0.81
10,"115/580 Hay Street, Perth",2,Apartment,760000,,495,2,2,1,2010,9,,,2017,4,4702,82,,0.29,0.33
10000,"26 Verticordia Road, Walliston",2,House,555000,,,4,2,2,2010,12,,,,,1048,,,20,10
10001,"9/2 Headingly Road, Kalamunda",3,Unit,434000,,,2,2,2,2010,11,,,,,2207,112,,18,10
10002,"3 9 Brooks Street, Kalamunda",3,House,565000,,,3,2,1,2010,12,,,,,285,,,18,10
10003,"28 Valley Road, Kalamunda",3,House,675000,,,4,2,2,2010,11,,,,,2947,,,19,11
10004,"2 Hillside Crescent, Gooseberry Hill",2,House,717000,,,3,2,2,2010,11,,,,,1970,170,1967,17,8
10005,"46 Heidleberg Road, Bickley",1,House,860000,,,3,2,2,2010,11,,,,,,,,22,11
10006,"Unit,23D Brooks Street, Kalamunda",3,Unit,445000,,,3,1,2,2010,11,,,,,326,,,18,10
10007,"81 Huntley Street, Gooseberry Hill",2,House,670000,,,4,1,1,2010,11,,,,,2243,,1971,18,8
10008,"27 Mason Road, Kalamunda",3,House,575000,495000,,4,2,1,2013,6,2010,12,,,2024,130,1966,19,10
1001,"7/51 Park Street, Como",3,Villa,570000,499000,,3,1,2,2014,12,2010,10,,,2179,95,,5,0.95
10010,"115 Johnston Road, Parkerville",2,House,575000,,,4,2,2,2010,11,,,,,2103,192,,27,13
10018,"200 Ridgewood Loop, Bullsbrook",1,House,820000,753000,,4,2,2,2013,10,2010,12,,,22426,275,,40,28
10019,"2 BREARLEY STREET, Bullsbrook",1,House,300000,,265,3,1,3,2010,12,,,2007,11,839,,1950,35,25
1002,"39C Park Street, Como",3,House,690000,,,4,2,4,2010,10,,,,,458,140,1990,5,1
10020,"7/69 Leonard Street, Victoria Park",3,Apartment,220000,,260,1,1,1,2010,12,,,2015,1,4055,,,4,1
10021,"312/69 Leonard street, Victoria Park",3,Apartment,237000,207000,220,1,1,1,2013,7,2010,12,2016,5,4055,41,,4,1
10023,"52b Gallipoli Street, Lathlain",2,House,573000,540000,,3,1,1,2011,12,2010,12,,,500,,1987,4,0.68
10024,"17 Streatley Road, Lathlain",2,House,850000,780000,,3,2,1,2015,8,2011,11,,,442,,,4,0.45
10025,"48 Keyes Street, Lathlain",2,House,425000,,400,2,1,1,2010,12,,,2015,10,631,,1957,5,1
10026,"64 Gallipoli Street, Lathlain",2,House,540000,,375,2,1,3,2010,12,,,2016,7,542,,1939,4,0.72
10027,"206/69 King George Street, Victoria Park",3,Apartment,235000,,315,1,1,1,2010,12,,,2014,6,54,,1969,4,1
10028,"703 19 The Circus, Burswood",1,Apartment,1150000,,,3,2,2,2010,12,,,,,4594,,,3,0.43
10029,"1102 2 Oldfield, Burswood",1,Apartment,899000,,,2,2,2,2010,12,,,,,157,108,,3,0.39
1003,"17D Park Street, Como",3,Villa,435000,387500,,2,1,2,2014,9,2010,10,,,1013,69,,5,1
10031,"1208/96 Bow River Crescent, Burswood",1,Apartment,1485000,,,3,2,2,2010,11,,,,,6326,176,,3,0.56
10032,"1/29 Berwick Street, Victoria Park",3,Townhouse,385000,,300,2,1,1,2010,11,,,2016,12,1011,,,3,1
10034,"212B Orrong Road, Carlisle",1,Duplex,370000,,320,3,1,1,2010,12,,,2015,8,886,105,1979,5,1
