id,address,nearbySchoolNum,houseType,soldPrice,lastSoldPrice,rentPrice,bedroom,bathroom,carspace,soldTimeYear,soldTimeMonth,lastSoldTimeYear,lastSoldTimeMonth,rentTimeYear,rentTimeMonth,landSize,buildingSize,buildYear,distanceToCBD,distanceToStation
1,"311/126 Mounts Bay Road, Perth",2,Apartment,465000,330000,,1,1,1,2012,12,2010,11,,,5547,,,1,0.81
10,"115/580 Hay Street, Perth",2,Apartment,760000,,495,2,2,1,2010,9,,,2017,4,4702,82,,0.29,0.33
100,"19 Willcock Avenue, Daglish",0,House,1310000,,,3,2,2,2010,10,,,,,628,,1940,4,0.20
10000,"26 Verticordia Road, Walliston",2,House,555000,,,4,2,2,2010,12,,,,,1048,,,20,10
10001,"9/2 Headingly Road, Kalamunda",3,Unit,434000,,,2,2,2,2010,11,,,,,2207,112,,18,10
10002,"3 9 Brooks Street, Kalamunda",3,House,565000,,,3,2,1,2010,12,,,,,285,,,18,10
10003,"28 Valley Road, Kalamunda",3,House,675000,,,4,2,2,2010,11,,,,,2947,,,19,11
10004,"2 Hillside Crescent, Gooseberry Hill",2,House,717000,,,3,2,2,2010,11,,,,,1970,170,1967,17,8
10005,"46 Heidleberg Road, Bickley",1,House,860000,,,3,2,2,2010,11,,,,,,,,22,11
10006,"Unit,23D Brooks Street, Kalamunda",3,Unit,445000,,,3,1,2,2010,11,,,,,326,,,18,10
10007,"81 Huntley Street, Gooseberry Hill",2,House,670000,,,4,1,1,2010,11,,,,,2243,,1971,18,8
10008,"27 Mason Road, Kalamunda",3,House,575000,495000,,4,2,1,2013,6,2010,12,,,2024,130,1966,19,10
10009,"71 Snowball Road, Kalamunda",3,House,690000,,650,5,3,2,2010,10,,,2012,4,1519,208,1980,17,9
1001,"7/51 Park Street, Como",3,Villa,570000,499000,,3,1,2,2014,12,2010,10,,,2179,95,,5,0.95
10010,"115 Johnston Road, Parkerville",2,House,575000,,,4,2,2,2010,11,,,,,2103,192,,27,13
10011,"41 Hanley Street, Stoneville",0,House,538000,,500,5,3,2,2010,12,,,2016,3,2050,231,,30,15
10012,"42 Hanley Street, Stoneville",0,House,485000,,,4,1,2,2010,12,,,,,1803,,,30,15
10013,"210 Old Farm Lane, Stoneville",0,House,620000,,,6,2,1,2010,11,,,,,10693,,,30,16
10014,"265 Traylen Road, Stoneville",0,House,430000,,,3,1,,2010,12,,,,,1985,,1990,31,16
10015,"45 Richmond Road, Gidgegannup",1,House,740000,,,4,2,3,2010,12,,,,,20004,206,2000,37,22
10016,"11 Parkland Parade, Bullsbrook",1,House,390000,,,4,2,2,2010,10,,,,,707,,,36,25
10017,"11 Prospect Place, Bullsbrook",1,House,380000,,,4,2,2,2010,10,,,,,692,143,,36,25
10018,"200 Ridgewood Loop, Bullsbrook",1,House,820000,753000,,4,2,2,2013,10,2010,12,,,22426,275,,40,28
10019,"2 BREARLEY STREET, Bullsbrook",1,House,300000,,265,3,1,3,2010,12,,,2007,11,839,,1950,35,25
1002,"39C Park Street, Como",3,House,690000,,,4,2,4,2010,10,,,,,458,140,1990,5,1
10020,"7/69 Leonard Street, Victoria Park",3,Apartment,220000,,260,1,1,1,2010,12,,,2015,1,4055,,,4,1
10021,"312/69 Leonard street, Victoria Park",3,Apartment,237000,207000,220,1,1,1,2013,7,2010,12,2016,5,4055,41,,4,1
10022,"5 Getting Street, Lathlain",2,House,647500,,,3,1,1,2010,12,,,,,739,,1956,5,0.83
10023,"52b Gallipoli Street, Lathlain",2,House,573000,540000,,3,1,1,2011,12,2010,12,,,500,,1987,4,0.68
10024,"17 Streatley Road, Lathlain",2,House,850000,780000,,3,2,1,2015,8,2011,11,,,442,,,4,0.45
