url,rental,bedroom,bathroom,carpool,address
/property-house-wa-warwick-420754774,$570 per week,4,2,3,"15 Adela Place, Warwick, WA 6024"
/property-apartment-wa-north+perth-409751511,$350 per week,2,1,1,"16/22 Knutsford Street, North Perth, WA 6006"
/property-apartment-wa-north+perth-417339158,$220 per week,1,1,1,"36/3 Russell Avenue, North Perth, WA 6006"
/property-house-wa-perth-420757490,$380 per week,2,1,1,"12/378 Beaufort Street, Perth, WA 6000"
/property-house-wa-clarkson-420757202,$380.00,3,2,2,"3 Rathmines Street, Clarkson, WA 6030"
/property-townhouse-wa-victoria+park-420032506,,3,2,2,"1/48 Leonard Street, Victoria Park, WA 6100"
/property-house-wa-baldivis-420436390,$320 per week,3,2,2,"20 Bettong Street, Baldivis, WA 6171"
/property-house-wa-clarkson-420754366,$420.00 per week,4,2,2,"9 Yaroomba Place, Clarkson, WA 6030"
/property-house-wa-alkimos-420755334,$310.00,3,2,2,"9 Grasswren Way, Alkimos, WA 6038"
/property-unit-wa-perth-420755422,$400 per week,2,1,0,"14D/811 Hay Street, Perth, WA 6000"
/property-unit-wa-perth-420755218,$600 per week,3,2,1,"33/369 Hay Street, Perth, WA 6000"
/property-studio-wa-highgate-420755258,$340 per week,1,1,0,"17/500 Beaufort Street, Highgate, WA 6003"
/property-house-wa-hamilton+hill-419802946,$250,2,1,1,"11/30 Lorraine Place, Hamilton Hill, WA 6163"
/property-house-wa-st+james-420415278,$320 wk,3,1,1,"35/20 Alday Street, St James, WA 6102"
/property-house-wa-alkimos-420748274,$260.00 per week,2,1,1,"9 Sooty Lane, Alkimos, WA 6038"
/property-villa-wa-armadale-417019362,$250 per week,3,1,1,"Unit 5/75 Church Avenue, Armadale, WA 6112"
/property-apartment-wa-east+perth-420750778,$475 per week,2,2,1,"70/188 Adelaide Tce, East Perth, WA 6004"
/property-villa-wa-como-420747062,$370 per week,2,1,1,"2/52 Saunders Street, Como, WA 6152"
/property-house-wa-bedford-416192641,$400 per week,3,2,2,"228A Coode Street, Bedford, WA 6052"
/property-house-wa-meadow+springs-404854720,$350 per week,4,2,7,"37 Broadstone Vista, Meadow Springs, WA 6210"
/property-house-wa-dudley+park-420474178,$400 per week,4,2,2,"14 Nellie Green, Dudley Park, WA 6210"
/property-house-wa-meadow+springs-420511738,$380 per week,4,2,2,"6 Pine Court, Meadow Springs, WA 6210"
